filename,class_id,class_name,has_enemy,x_center,y_center,width,height,video_id,frame_idx,timestamp,confidence,auto_labeled,bbox_source,aug_type
ka_alter_final_merged_Federico_sammelt_i_tried_the_new_season_[C-SDrECvTa4]_0000_2.png,1,player,1,0.387850,0.707772,0.160578,0.584456,ka_alter__final_merged__Federico_sammelt__i_tried_the_new_season [C-SDrECvTa4],15,0.500000,1.0000,False,manual_box,original
ka_alter_final_merged_Federico_sammelt_i_tried_the_new_season_[C-SDrECvTa4]_0000_2.png,0,enemy,1,0.833050,0.695480,0.330501,0.594766,ka_alter__final_merged__Federico_sammelt__i_tried_the_new_season [C-SDrECvTa4],15,0.500000,1.0000,False,manual_box,original
ka_alter_final_merged_Federico_sammelt_i_tried_the_new_season_[C-SDrECvTa4]_0000_3.png,1,player,1,0.387850,0.707772,0.160578,0.584456,ka_alter__final_merged__Federico_sammelt__i_tried_the_new_season [C-SDrECvTa4],15,0.500000,1.0000,False,manual_box,brightness_0.7
ka_alter_final_merged_Federico_sammelt_i_tried_the_new_season_[C-SDrECvTa4]_0000_3.png,0,enemy,1,0.833050,0.695480,0.330501,0.594766,ka_alter__final_merged__Federico_sammelt__i_tried_the_new_season [C-SDrECvTa4],15,0.500000,1.0000,False,manual_box,brightness_0.7
ka_alter_final_merged_Federico_sammelt_i_tried_the_new_season_[C-SDrECvTa4]_0000_4.png,1,player,1,0.387850,0.707772,0.160578,0.584456,ka_alter__final_merged__Federico_sammelt__i_tried_the_new_season [C-SDrECvTa4],15,0.500000,1.0000,False,manual_box,brightness_1.3
ka_alter_final_merged_Federico_sammelt_i_tried_the_new_season_[C-SDrECvTa4]_0000_4.png,0,enemy,1,0.833050,0.695480,0.330501,0.594766,ka_alter__final_merged__Federico_sammelt__i_tried_the_new_season [C-SDrECvTa4],15,0.500000,1.0000,False,manual_box,brightness_1.3
ka_alter_final_merged_Federico_sammelt_i_tried_the_new_season_[C-SDrECvTa4]_0000_5.png,1,player,1,0.387850,0.707772,0.160578,0.584456,ka_alter__final_merged__Federico_sammelt__i_tried_the_new_season [C-SDrECvTa4],15,0.500000,1.0000,False,manual_box,noise
ka_alter_final_merged_Federico_sammelt_i_tried_the_new_season_[C-SDrECvTa4]_0000_5.png,0,enemy,1,0.833050,0.695480,0.330501,0.594766,ka_alter__final_merged__Federico_sammelt__i_tried_the_new_season [C-SDrECvTa4],15,0.500000,1.0000,False,manual_box,noise
ka_alter_final_merged_Federico_sammelt_i_tried_the_new_season_[C-SDrECvTa4]_0000_6.png,1,player,1,0.612150,0.707772,0.160578,0.584456,ka_alter__final_merged__Federico_sammelt__i_tried_the_new_season [C-SDrECvTa4],15,0.500000,1.0000,False,manual_box,flip
ka_alter_final_merged_Federico_sammelt_i_tried_the_new_season_[C-SDrECvTa4]_0000_6.png,0,enemy,1,0.166950,0.695480,0.330501,0.594766,ka_alter__final_merged__Federico_sammelt__i_tried_the_new_season [C-SDrECvTa4],15,0.500000,1.0000,False,manual_box,flip
